FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3c,"Agneta, punta","Agneta, punta",100025,,Head,"En la costa N de la península de Kemp, costa E de la península Antártica. El topónimo que fuera aprobado por la C.C.G. en 1978, recuerda al Teniente de la Fuerza Aérea Alfredo S. Agneta, precursor de la aeronáutica argentina que falleciera en acto de servicio en un accidente aéreo. Publicado por primera vez en TSAA2. SHN carta H-7.",ARG,-72.9333,-60.6667,POINT (-60.666667 -72.933333),109,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3d,"Agradable, punta","Agradable, punta",100026,,Head,"Ubicada en la costa W de la península Antártica, en el canal Grandidier. El topónimo recuerda a la corbeta ""AGRADABLE"" que formara parte de la famosa escuadra del Almirante Brown. Fue aprobado por la C.C.G en 1978. Publicado por primera vez en TSAA2. SHN cartas H-715/H-716.",ARG,-65.5167,-64.1333,POINT (-64.133333 -65.516667),110,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3e,"Agrelo, cabo","Agrelo, cabo",100027,,Cape,"En costa N de isla Nelson, islas Shetland del Sur. Este cabo fue estudiado por el A.R.A. ""BAHIA AGUIRRE"" durante la C.A.A. 1972/73 y llamado así en homenaje del Dr. Pedro Agrelo, patriota y periodista de la Gaceta de Buenos Aires, de recordada actuación en los históricos hechos de mayo de 1810. El topónimo fue aprobado por la C.C.G. en el año 1978. Publicado por primera vez en TSAA2. SHN carta H-711.",ARG,-62.2333,-59.0667,POINT (-59.066667 -62.233333),111,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3f,"Aguda, bahía","Aguda, bahía",100028,,Bay,"En el glaciar Buenos Aires, sobre la costa Confín y al sur del Mar de Weddell. El nombre es descriptivo y fue impuesto por el comando del Rompehielos A.R.A. ""GENERAL SAN MARTIN"" durante la C.A.A. 1955/56. El topónimo figuraba en la Lista que el SIHN envió en junio de 1959 al Ministerio de Relaciones Exteriores. Aparece por primera vez en la carta 121 de 1954 y posteriormente en TSAA1. SHN carta H-7.",ARG,-76.15,-26.75,POINT (-26.75 -76.15),113,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c40,"Aguda, punta (Bahia Flandes)","Aguda, punta (Bahia Flandes)",100029,,Point,,ARG,-65.0333,-63.6833,POINT (-63.683333 -65.033333),112,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c41,"Agudo, pico (Livingston Island)","Agudo, pico (Livingston Island)",100030,,Peak,,ARG,-62.5333,-60.05,POINT (-60.05 -62.533333),13101,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c42,"Aguila, caleta","Aguila, caleta",100031,,Cove,"Al SW de bahía Esperanza, península Trinidad. Bautizada en recuerdo de la S.S.Eagle que permaneció en esa caleta en 1945. Fue propuesto por el Capitán A. Taylor después del relevamiento del Teniente D.P. James en noviembre-diciembre de 1945. Se publica por primera vez en TSAA1. SHN, carta H-713.",ARG,-63.3833,-57.0667,POINT (-57.066667 -63.383333),4016,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c43,"Aguila, isla","Aguila, isla",100032,,Island,"Al S de bahía Duse, península Trinidad. Es la mayor del grupo de islas Andersson. Avistadas por primera vez por una Comisión al mando de G. Andersson de la E.A.S. (1901-4) y cartografiadas por el C.I.I.M. (F.I.D.S.) en 1945 y bautizada en honor del buque ""EAGLE"". El SIHN lo adoptó y tradujo al castellano. Se publica primeramente en la carta 110 del año 1963 y en la TSAA1. SHN carta H-713.",ARG,-63.6667,-57.4833,POINT (-57.483333 -63.666667),4017,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c44,"Aguilera, caleta","Aguilera, caleta",100033,,Cove,"En costa W de ensenada Mackellar, isla 25 de Mayo. Fue estudiada por el A.R.A.""BAHIA AGUIRRE"" durante la C.A.A. 1973/74 y denominada así en recuerdo del representante de la provincia de Catamarca en la Junta Grande, Don Julio de Aguilera. El topónimo fue aprobado por la C.C.G. en 1978 y se publicó por primera vez en TSAA2. SHN carta 136/H-711.",ARG,-62.0833,-58.4833,POINT (-58.483333 -62.083333),115,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c45,"Aguja del Astrolabio, monolito","Aguja del Astrolabio, monolito",100034,,Peak,"En costa oriental de isla Brabante, costa W de la península Antártica. Fue descubierta por la E.A.F. de J.B. Charcot (1903-1905) y bautizado con el nombre de uno de los buques de la E.A. F. de d'Urville, el ""L'ASTROLABE"". Su nombre es traducción. Figuró en un lista del Ministerio de Marina de 1953, en la publicación TSAA1 y en una carta antártica de 1954. SHN carta H-714.",ARG,-64.15,-62.6,POINT (-62.6 -64.15),590,Argentina,32
